graphspec,vertices,CNF,VC1,VC2
1,5,1,1,1.33333
2,5,1,1,1.33333
3,5,1,1,1.33333
4,5,1,1,2
5,5,1,1,2
6,10,1,1,1.2
7,10,1,1,2
8,10,1,1,1.6
9,10,1,1,1.33333
10,10,1,1,1.2
11,15,1,1,1.71429
12,15,1,1,1.5
13,15,1,1,1.42857
14,15,1,1,1.14286
15,15,1,1,1.5
16,20,0,1,1.4
17,20,0,1,1.33333
18,20,0,1,1.4
19,20,0,1,1.6
20,20,0,1,1.55556
21,25,0,1,1.6
22,25,0,1,1.53846
23,25,0,1,1.4
24,25,0,1,1.33333
25,25,0,1,1.53846
26,30,0,1,1.46667
27,30,0,1,1.57143
28,30,0,1,1.57143
29,30,0,1,1.5
30,30,0,1,1.69231
31,35,0,1,1.52941
32,35,0,1,1.52941
33,35,0,1,1.52941
34,35,0,1,1.57895
35,35,0,1,1.47368
36,40,0,1,1.5
37,40,0,1,1.6
38,40,0,1,1.45455
39,40,0,1,1.57895
40,40,0,1,1.33333
41,45,0,1,1.7
42,45,0,1,1.54545
43,45,0,1,1.45455
44,45,0,1,1.3913
45,45,0,1,1.5
46,50,0,1,1.75
47,50,0,1,1.53846
48,50,0,1,1.44
49,50,0,1,1.40741
50,50,0,1,1.71429
